gene	K_18	K_19	G_20	K_21	K_22	K_23	G_24	G_25	G_26	G_27
1007_s_at	281.8	254.15	407.25	384.4	542.8	282.65	302.4	377.4	436.5	403.55
1053_at	111.4	105.65	187.4	139.15	222.3	97.3	147.65	156.9	195.15	274.25
117_at	151.8	120.4	187.65	163.8	263.8	214.25	236.65	222.05	243.9	327.65
121_at	399.65	296.25	576.05	579.25	671.9	414.75	497.65	562.3	648.9	558.4
1255_g_at	94.25	74.05	96.4	119.65	100.25	79.9	110.3	99.5	107.15	172.75
1294_at	230.75	322.05	497.9	322.15	458.4	410.9	451.9	516.65	556.5	453.25
1316_at	140.75	92.05	159.05	187.3	196.05	113.4	147.55	162.4	173	272.8
1320_at	83.8	80.75	116.15	130.55	142.3	93.9	126.15	118.75	141.4	239.9
1405_i_at	77.55	73.15	122.75	107.05	121.65	85.75	121.15	102.55	307.05	209.05
1431_at	88.65	79.55	106.9	126.9	118	96.4	119.3	84.65	108.15	189.55
1438_at	172.3	150.65	270.15	259.75	296.9	184.4	245	231.65	284.25	338.8
1487_at	188.9	192.15	324.5	286.5	369.8	262.3	323.65	301.4	359.05	337.8
1494_f_at	217.65	181.15	297.25	281.3	291.15	168.4	252.4	252.75	283.8	320.9
1598_g_at	374.55	288.4	505.05	516.75	586.4	368.05	539.25	520.9	489.8	646.65
160020_at	295.4	211.8	361.15	409.8	468.4	250.75	333.8	318.15	354.65	470.5
1729_at	256.15	209.55	367.25	344.75	385.05	260.15	350.9	352.05	379	356.3
1773_at	117.8	101.75	149.25	146.65	177.9	129.5	155.4	142.3	168	276.4
177_at	125.15	115.4	156.9	181.15	177	148.25	153.25	150.25	187.4	219.55
179_at	382.15	411.05	717.9	634.5	833.25	440.5	683.3	661.55	730.75	821.75
1861_at	102.15	134.65	173.65	172.9	212.25	126.15	152.05	154.8	195.3	268.4
200000_s_at	522.5	561	934.5	749	1480	661	696	794.3	806	792.5
200001_at	488	609	1121.3	937.5	1292	685.3	1022.5	918.3	1070	1204.3
200002_at	1825.5	4122.5	4779.3	2634.3	4037.8	1720.3	5030	3749.8	4540.8	4048.3
200003_s_at	2983.3	5493	8008.5	5181.3	6277	3185	8023.8	5558	7500.5	6057.3
200004_at	879	1624	1939.3	1857.3	1957.5	1326	1973.5	1794.8	1759.5	1552.3
200005_at	526.3	736	1405.5	855.8	1478.3	667.5	1059.3	1140	1150	1210.5
200006_at	470.5	652.3	624.5	810.5	1012.5	566.3	558.8	618.5	882.3	963
200007_at	678.3	901.3	1345.8	1310	1359.5	752.3	833.5	1344.8	1714.3	1251
200008_s_at	438.8	546.3	1048.8	1348.5	1165	659.8	1104.8	984.8	959.3	1056.8
200009_at	890.3	1313	1694.5	1974.3	1770.8	1510.5	1088	1617.8	1520	1292.8
200010_at	3032.3	3132.8	6560.5	5755.5	4480.8	1565.3	5392.5	6271	6537.8	5044.3
200011_s_at	228.3	265.3	407.8	356.5	556	251.3	303	384	485.3	520.5
200012_x_at	4900.8	5938.8	7954.8	5941.3	5961.8	3203.8	8744.3	7066.3	7488.8	6463.5
